time_s,current_A
94129,4.4937664462814055
94130,4.493964056592712
94131,4.494161693531057
94132,4.494359357102503
94133,4.494557047313119
94134,4.494754764168954
94135,4.494952507676071
94136,4.495150277840531
94137,4.495348074668409
94138,4.495545898165741
94139,4.495743748338638
94140,4.495941625193132
94141,4.496139528735333
94142,4.496337458971286
94143,4.496535415907075
94144,4.496733399548777
94145,4.496931409902477
94146,4.497129212339768
94147,4.497327020328382
94148,4.497524854978457
94149,4.497722716296038
94150,4.497920604287208
94151,4.498118518958027
94152,4.49831646031456
94153,4.498514428362903
94154,4.49871242310911
94155,4.498910444559259
94156,4.499108492719432
94157,4.499306567595716
94158,4.499504669194165
94159,4.499702797520904
94160,4.4999009525819975
94161,4.5000991343835315
94162,4.500297342931606
94163,4.500495578232306
94164,4.500693840291732
94165,4.50089018791808
94166,4.501085776999552
94167,4.501281392128958
94168,4.501477033312159
94169,4.501672700554998
94170,4.501868393863356
94171,4.502064113243065
94172,4.502259858700016
94173,4.502455630240053
94174,4.502651427869053
94175,4.502847251592881
94176,4.503043101417402
94177,4.503238977348507
94178,4.503434879392056
94179,4.5036308075539
94180,4.503826761839952
94181,4.504022742256073
94182,4.50421874880816
94183,4.504414781502073
94184,4.504611897978147
94185,4.504810005912444
94186,4.505008140547151
94187,4.505206301888341
94188,4.505404489942097
94189,4.505602704714492
94190,4.505800946211606
94191,4.50599921443951
94192,4.506197509404285
94193,4.50639583111205
94194,4.506594179568859
94195,4.506792554780815
94196,4.506990956754011
94197,4.507189385494511
94198,4.5073878410084545
94199,4.5075863233019176
94200,4.5077848323810015
94201,4.507983368251791
94202,4.508181930920426
94203,4.508380439735524
94204,4.508578825401485
94205,4.508777237821531
94206,4.508975677001762
94207,4.509174142948255
94208,4.509372635667121
94209,4.509571155164447
94210,4.50976970144632
94211,4.509968274518874
94212,4.510166874388182
94213,4.510365501060339
94214,4.510564154541467
94215,4.510762834837672
94216,4.510961541955073
94217,4.511160275899765
94218,4.511359036677849
94219,4.511557824295471
94220,4.5117566387587456
94221,4.511955480073763
94222,4.512154736230996
94223,4.512355643587977
94224,4.512556578831698
94225,4.512757541968767
94226,4.512958533005762
94227,4.513159551949298
94228,4.5133605988059715
94229,4.513561673582379
94230,4.5137627762851125
94231,4.5139639069208215
94232,4.514165065496081
94233,4.51436625201751
94234,4.514567466491739
94235,4.514768708925357
94236,4.51496997932501
94237,4.515171277697296
94238,4.515372604048842
94239,4.515573958386288
94240,4.515775340716258
94241,4.515976928800515
94242,4.516181775998068
94243,4.516386652153196
94244,4.516591557272887
94245,4.516796491364128
94246,4.517001454433901
94247,4.517206446489148
94248,4.517411467536884
94249,4.5176165175840675
94250,4.517821596637718
94251,4.518026704704805
94252,4.518231841792324
94253,4.518437007907265
94254,4.51864220305663
94255,4.518847427247425
94256,4.519052680486636
94257,4.519257962781261
94258,4.519463274138327
94259,4.519668614564829
94260,4.519873984067775
94261,4.520079807633979
94262,4.520285693435166
94263,4.520491608462328
94264,4.520697552722544
94265,4.520903526222843
94266,4.521109528970319
94267,4.521315560972057
94268,4.5215216222351104
94269,4.521727712766565
94270,4.521933832573521
94271,4.522139981663032
94272,4.522346160042203
94273,4.522552367718132
94274,4.522758604697878
94275,4.522964870988546
94276,4.523171166597265
94277,4.523377491531082
94278,4.52358384579713
94279,4.5237902294025005
94280,4.523997941093745
94281,4.524205967102976
94282,4.524414022919998
94283,4.524622108552075
94284,4.524830224006492
94285,4.52503836929053
94286,4.525246544411466
94287,4.525454749376601
94288,4.525662984193205
94289,4.525871248868571
94290,4.526079543409989
94291,4.526287867824755
94292,4.526496222120178
94293,4.526704606303549
94294,4.526913020382156
94295,4.527121464363333
94296,4.527329938254385
94297,4.527538442062592
94298,4.527746975795288
94299,4.527957228683358
94300,4.528168138923508
94301,4.528379079771505
94302,4.528590051234906
94303,4.528801053321304
94304,4.529012086038228
94305,4.529223149393298
94306,4.529434243394059
94307,4.52964536804809
94308,4.52985652336299
94309,4.530067709346329
94310,4.530278926005702
94311,4.530490173348683
94312,4.5307014513828845
94313,4.530912760115872
94314,4.531124099555265
94315,4.531335469708661
94316,4.5315468705836555
94317,4.531758302187854
94318,4.531966896981706
94319,4.532174013012055
94320,4.5323811585483975
94321,4.532588333597917
94322,4.532795538167739
94323,4.533002772265062
94324,4.533210035897033
94325,4.533417329070844
94326,4.533624651793657
94327,4.533832004072631
94328,4.534039385914977
94329,4.534246797327846
94330,4.534454238318436
94331,4.534661708893935
94332,4.5348692090615215
94333,4.535076738828385
94334,4.535284298201738
94335,4.535491887188762
94336,4.535699505796638
94337,4.535913682910019
94338,4.5361322808905715
94339,4.536350911676093
94340,4.536569575274975
94341,4.536788271695627
94342,4.53700700094642
94343,4.537225763035755
94344,4.537444557972008
94345,4.537663385763598
94346,4.537882246418892
94347,4.538101139946339
94348,4.538320066354309
94349,4.538539025651232
94350,4.538758017845508
94351,4.53897704294557
94352,4.539196100959811
94353,4.539415191896669
94354,4.539634315764564
94355,4.539853472571927
94356,4.540074189003753
94357,4.5402961494689125
94358,4.5405181437184625
94359,4.540740171761146
94360,4.540962233605704
94361,4.54118432926092
94362,4.541406458735564
94363,4.541628622038375
94364,4.54185081917815
94365,4.542073050163648
94366,4.5422953150036545
94367,4.542517613706946
94368,4.5427399462823
94369,4.542962312738509
94370,4.543184713084381
94371,4.543407147328672
94372,4.543629615480211
94373,4.543852117547782
94374,4.54407465354019
94375,4.544295252590032
94376,4.5445141724949085
94377,4.544733125248253
94378,4.544952110858448
94379,4.54517112933391
94380,4.545390180683027
94381,4.545609264914208
94382,4.545828382035843
94383,4.54604753205636
94384,4.546266714984154
94385,4.546485930827655
94386,4.546705179595264
94387,4.546924461295416
94388,4.547143775936517
94389,4.5473631235270044
94390,4.5475825040753275
94391,4.547801917589877
94392,4.548021364079132
94393,4.5482408435515005
94394,4.548466099680025
94395,4.5486964843465
94396,4.548926905324554
94397,4.549157362623897
94398,4.549387856254301
94399,4.549618386225489
94400,4.549848952547236
94401,4.550079555229296
94402,4.550310194281407
94403,4.550540869713352
94404,4.550771581534898
94405,4.551002329755804
94406,4.551233114385854
94407,4.551463935434813
94408,4.551694792912477
94409,4.551925686828626
94410,4.552156617193048
94411,4.552387584015539
94412,4.55261858730589
94413,4.55284583343223
94414,4.55306991839869
94415,4.553294037709267
94416,4.553518191372942
94417,4.5537423793986935
94418,4.553966601795474
94419,4.554190858572263
94420,4.55441514973803
94421,4.554639475301759
94422,4.554863835272434
94423,4.5550882296590345
94424,4.555312658470546
94425,4.555537121715974
94426,4.555761619404299
94427,4.555986151544531
94428,4.556210718145676
94429,4.556435319216725
94430,4.556659954766688
94431,4.556884624804596
94432,4.557114334396496
94433,4.557347802782642
94434,4.557581308387707
94435,4.557814851221785
94436,4.558048431294996
94437,4.558282048617412
94438,4.558515703199177
94439,4.558749395050382
94440,4.558983124181161
94441,4.559216890601621
94442,4.559450694321896
94443,4.559684535352122
94444,4.559918413702411
94445,4.560152329382937
94446,4.560386282403808
94447,4.560620272775172
94448,4.5608543005072
94449,4.561088365610022
94450,4.56132246809381
94451,4.561556835484645
94452,4.561791378460692
94453,4.562025958963936
94454,4.562260577004594
94455,4.562495232592909
94456,4.562729925739099
94457,4.562964656453386
94458,4.563199424746003
94459,4.563434230627213
94460,4.5636690741072385
94461,4.563903955196333
94462,4.564138873904757
94463,4.564373830242744
94464,4.564608824220557
94465,4.56484385584848
94466,4.565078925136768
94467,4.565314032095694
94468,4.56554917673553
94469,4.565784359066551
94470,4.566022987782541
94471,4.566263190384716
94472,4.566503432294877
